Adres,Szerokość,Długość
",  Lokalizacja, Polska",52.1123566,21.58959060378022
"Adamówka 4B, 37-534 Adamówka, Polska",50.258632,22.6941189
"Mazurska 21, 16-300 Augustów, Polska",53.8421747,22.9584974
"Wierzbińska 72, 95-070 Aleksandrów Łódzki, Polska",51.81863785,19.286832538876528
"Krakowska 136, 34-120 Andrychów, Polska",49.8558395,19.3373587
"Cło 31A, 63-604 Baranów k. Kępna, Polska",Brak danych,Brak danych
"Będzino 16, 76-037 Będzino, Polska",54.20994,15.99265
"Sidorska 100, 21-500 Biała Podlaska, Polska",52.0254939,23.157206114936074
"Kościelna 91D, 26-800 Białobrzegi, Polska",51.646266,20.940615770927394
"Królowej Jadwigi 4, 78-200 Białogard, Polska",54.0096463,15.971651575529528
